#datum;m_ta;m_tax;m_taxd;m_tan;m_tand
1901-01;-7.6;1.8;1901-01-28;-18.6;1901-01-09
1901-02;-4.3;2.9;1901-02-06;-11.2;1901-02-16
1901-03;5.8;14.3;1901-03-20;-0.3;1901-03-01
1901-04;10.3;19.2;1901-04-10;4.4;1901-04-19
1901-05;16.1;22.5;1901-05-26;8.9;1901-05-05
1901-06;20.4;26.0;1901-06-25;13.4;1901-06-17
1901-07;22.0;28.0;1901-07-30;16.7;1901-07-10
1901-08;19.7;25.8;1901-08-01;11.9;1901-08-30
1901-09;14.8;19.7;1901-09-23;9.1;1901-09-08
1901-10;11.6;17.2;1901-10-05;5.7;1901-10-31
1901-11;3.1;13.2;1901-11-14;-2.4;1901-11-30
1901-12;3.8;9.7;1901-12-20;-1.7;1901-12-06
1902-01;0.7;4.9;1902-01-25;-6.6;1902-01-15
1902-02;2.8;9.2;1902-02-08;-5.2;1902-02-05
1902-03;3.7;12.7;1902-03-22;-8.2;1902-03-13
1902-04;8.7;13.3;1902-04-13;3.6;1902-04-28
1902-05;11.8;20.0;1902-05-31;6.4;1902-05-02
1902-06;18.3;24.7;1902-06-30;13.7;1902-06-19
1902-07;19.2;25.7;1902-07-01;13.2;1902-07-04
1902-08;20.2;25.3;1902-08-07;12.8;1902-08-14
1902-09;14.7;21.9;1902-09-12;5.2;1902-09-24
1902-10;10.0;15.4;1902-10-12;3.3;1902-10-25
1902-11;-1.1;6.3;1902-11-04;-9.7;1902-11-23
1902-12;-7.2;5.2;1902-12-31;-22.4;1902-12-13
1903-01;-2.1;10.3;1903-01-11;-11.3;1903-01-24
1903-02;2.1;10.5;1903-02-23;-4.0;1903-02-17
1903-03;7.0;15.3;1903-03-27;1.2;1903-03-11
1903-04;8.3;14.1;1903-04-29;2.7;1903-04-19
1903-05;15.0;20.8;1903-05-08;10.3;1903-05-23
1903-06;17.7;20.6;1903-06-21;10.3;1903-06-05
1903-07;20.0;27.2;1903-07-20;14.2;1903-07-10
1903-08;18.9;24.0;1903-08-13;13.7;1903-08-20
1903-09;16.0;22.9;1903-09-15;10.4;1903-09-26
1903-10;10.7;20.1;1903-10-07;2.3;1903-10-21
1903-11;5.2;10.4;1903-11-20;-0.3;1903-11-28
1903-12;1.5;10.5;1903-12-02;-9.9;1903-12-30
1904-01;-3.1;3.6;1904-01-14;-10.2;1904-01-12
1904-02;2.5;7.6;1904-02-22;-1.8;1904-02-27
1904-03;4.8;8.6;1904-03-10;-1.5;1904-03-20
1904-04;10.2;17.8;1904-04-23;4.4;1904-04-05
1904-05;14.4;19.7;1904-05-18;10.9;1904-05-06
1904-06;18.8;24.8;1904-06-18;13.5;1904-06-29
1904-07;21.9;26.7;1904-07-18;17.4;1904-07-20
1904-08;20.2;25.7;1904-08-12;13.9;1904-08-30
1904-09;14.6;19.8;1904-09-15;7.4;1904-09-21
1904-10;10.4;14.6;1904-10-06;5.1;1904-10-23
1904-11;1.8;8.9;1904-11-01;-6.7;1904-11-15
1904-12;-0.5;7.5;1904-12-08;-9.9;1904-12-28
1905-01;-7.4;0.9;1905-01-07;-16.5;1905-01-02
1905-02;-0.5;4.5;1905-02-27;-5.9;1905-02-14
1905-03;5.4;13.7;1905-03-31;-0.4;1905-03-23
1905-04;8.4;16.1;1905-04-12;0.1;1905-04-07
1905-05;15.4;20.0;1905-05-18;8.3;1905-05-10
1905-06;20.1;24.4;1905-06-30;15.1;1905-06-13
1905-07;22.1;26.8;1905-07-02;17.0;1905-07-15
1905-08;21.5;28.0;1905-08-04;15.1;1905-08-13
1905-09;16.4;22.5;1905-09-12;8.4;1905-09-19
1905-10;6.3;13.5;1905-10-01;2.1;1905-10-26
1905-11;6.5;11.5;1905-11-06;-0.4;1905-11-26
1905-12;-0.9;4.1;1905-12-10;-7.3;1905-12-20
1906-01;-2.9;2.6;1906-01-14;-11.0;1906-01-01
1906-02;1.0;11.2;1906-02-28;-3.2;1906-02-11
1906-03;4.9;13.0;1906-03-23;0.2;1906-03-13
1906-04;11.6;19.3;1906-04-19;1.7;1906-04-02
1906-05;17.2;20.2;1906-05-29;13.8;1906-05-22
1906-06;19.1;25.7;1906-06-29;13.2;1906-06-05
1906-07;21.0;26.4;1906-07-19;15.2;1906-07-02
1906-08;19.0;26.4;1906-08-04;12.2;1906-08-28
1906-09;13.8;22.9;1906-09-06;4.3;1906-09-26
1906-10;8.8;14.0;1906-10-16;1.2;1906-10-28
1906-11;6.9;13.8;1906-11-08;-2.5;1906-11-15
1906-12;-2.1;5.2;1906-12-01;-9.8;1906-12-22
1907-01;-5.2;3.5;1907-01-03;-19.4;1907-01-22
1907-02;-5.2;1.7;1907-02-20;-13.7;1907-02-13
1907-03;-0.1;4.1;1907-03-20;-4.9;1907-03-13
1907-04;8.1;13.5;1907-04-29;3.4;1907-04-02
1907-05;17.9;21.4;1907-05-16;11.8;1907-05-01
1907-06;19.0;25.6;1907-06-23;13.3;1907-06-05
1907-07;19.3;26.8;1907-07-01;14.6;1907-07-13
